Region,Level,Value
Northern Ireland,Stock levels are higher than normal,16.30%
Northern Ireland,Stock levels have not changed,40.50%
Northern Ireland,Stock levels are lower than normal,10.20%
Northern Ireland,Not sure,9.50%
Northern Ireland,Not applicable,23.50%
Scotland,Stock levels are higher than normal,12.20%
Scotland,Stock levels have not changed,41.00%
Scotland,Stock levels are lower than normal,10.40%
Scotland,Not sure,7.10%
Scotland,Not applicable,29.30%
Wales,Stock levels are higher than normal,12.40%
Wales,Stock levels have not changed,42.60%
Wales,Stock levels are lower than normal,11.30%
Wales,Not sure,7.90%
Wales,Not applicable,25.80%
England,Stock levels are higher than normal,11.90%
England,Stock levels have not changed,37.90%
England,Stock levels are lower than normal,9.60%
England,Not sure,6.00%
England,Not applicable,34.60%
South West,Stock levels are higher than normal,12.60%
South West,Stock levels have not changed,42.70%
South West,Stock levels are lower than normal,9.70%
South West,Not sure,7.30%
South West,Not applicable,27.60%
South East,Stock levels are higher than normal,10.70%
South East,Stock levels have not changed,39.20%
South East,Stock levels are lower than normal,9.30%
South East,Not sure,6.80%
South East,Not applicable,34.00%
London,Stock levels are higher than normal,7.30%
London,Stock levels have not changed,29.70%
London,Stock levels are lower than normal,7.50%
London,Not sure,7.50%
London,Not applicable,48.00%
Eastern,Stock levels are higher than normal,13.70%
Eastern,Stock levels have not changed,40.50%
Eastern,Stock levels are lower than normal,10.40%
Eastern,Not sure,6.80%
Eastern,Not applicable,28.60%
West Midlands,Stock levels are higher than normal,15.70%
West Midlands,Stock levels have not changed,42.30%
West Midlands,Stock levels are lower than normal,9.70%
West Midlands,Not sure,6.90%
West Midlands,Not applicable,25.40%
East Midlands,Stock levels are higher than normal,13.30%
East Midlands,Stock levels have not changed,44.80%
East Midlands,Stock levels are lower than normal,8.80%
East Midlands,Not sure,7.60%
East Midlands,Not applicable,25.50%
Yorkshire and The Humber,Stock levels are higher than normal,14.60%
Yorkshire and The Humber,Stock levels have not changed,43.30%
Yorkshire and The Humber,Stock levels are lower than normal,9.20%
Yorkshire and The Humber,Not sure,7.20%
Yorkshire and The Humber,Not applicable,25.60%
North West,Stock levels are higher than normal,12.40%
North West,Stock levels have not changed,39.60%
North West,Stock levels are lower than normal,9.70%
North West,Not sure,6.90%
North West,Not applicable,31.40%
North East,Stock levels are higher than normal,13.70%
North East,Stock levels have not changed,40.50%
North East,Stock levels are lower than normal,10.40%
North East,Not sure,9.30%
North East,Not applicable,26.10%
